teacherid,year,mathscore,numaides,treatment,schoolid,grade,yr1_treatment
30253,2001,1034.567,2,1,38,3,2004
30254,2001,1128.621,2,0,39,3,0
30255,2001,1122.792,2,0,39,3,0
30256,2001,1267,2,1,39,3,2007
30257,2001,1015.333,2,0,39,3,0
30258,2001,1169.375,2,0,40,3,0
30259,2001,1184.238,2,1,40,3,2007
30260,2001,1260.136,2,1,40,3,2010
30261,2001,1118.381,2,1,40,3,2012
30262,2001,1181.375,2,0,40,3,0
30263,2001,1095.5,2,0,40,3,0
30264,2001,1127.375,2,0,40,3,0
30265,2001,1013.238,2,0,41,3,0
30266,2001,1148.571,2,0,41,3,0
30267,2001,1163.852,2,1,41,3,2010
30268,2001,1092,2,0,41,3,0
30269,2001,1089.036,2,0,41,3,0
30270,2001,1174.7,2,1,42,3,2005
30271,2001,1071.625,2,0,42,3,0
30272,2001,1169.48,2,1,42,3,2004
30273,2001,1064.091,2,0,42,3,0
30274,2001,1165.931,2,1,42,3,2009
30275,2001,1040,2,0,42,3,0
30276,2001,1110.607,2,0,43,3,0
30277,2001,1127.815,2,1,43,3,2007
30278,2001,1110.9,2,0,43,3,0
30279,2001,1030.071,2,0,43,3,0
30280,2001,1176.857,2,1,43,3,2011
30281,2001,1136.261,2,0,43,3,0
30282,2001,1100.24,2,1,43,3,2004
30283,2001,1164.208,2,0,44,3,0
30284,2001,1181.609,2,1,44,3,2011
30285,2001,1068.586,2,1,44,3,2012
30286,2001,1115.095,2,0,44,3,0
30287,2001,1180.667,2,0,44,3,0
30288,2001,1185.207,2,1,44,3,2009
40001,2001,1051.185,2,0,1,4,0
40002,2001,1099.333,2,1,2,4,2011
40003,2001,1168.1,2,0,3,4,0
40004,2001,1128.741,2,1,4,4,2011
40005,2001,1128.087,2,0,5,4,0
40006,2001,1149.6,2,0,6,4,0
40007,2001,1154.81,2,0,7,4,0
40008,2001,1127.238,2,1,8,4,2005
40009,2001,1137.31,2,0,9,4,0
40010,2001,1088.241,2,0,10,4,0
40011,2001,1155.938,2,0,11,4,0
40012,2001,1054.966,2,1,12,4,2008
40013,2001,1095.44,2,0,13,4,0
40014,2001,1096.609,2,1,14,4,2012
40015,2001,1179.556,2,1,15,4,2010
40016,2001,1250.682,2,1,16,4,2006
40017,2001,1131.545,2,1,17,4,2005
40018,2001,1220.808,2,0,18,4,0
40019,2001,1207,2,0,19,4,0
40020,2001,1051.414,2,1,20,4,2009
40021,2001,1068.759,2,0,21,4,0
40022,2001,1010.71,2,0,22,4,0
40023,2001,1130.032,2,1,23,4,2012
40024,2001,1120.231,2,1,24,4,2010
40025,2001,1019.08,2,1,25,4,2009
40026,2001,1132.214,2,0,26,4,0
40027,2001,1241.435,2,0,27,4,0
40028,2001,969.16,2,0,28,4,0
40029,2001,1038.652,2,0,29,4,0
40030,2001,1033.966,2,0,30,4,0
40031,2001,1054.72,2,1,31,4,2012
40032,2001,1168.565,2,0,32,4,0
40033,2001,1033.417,2,0,33,4,0
40034,2001,1146.273,2,1,34,4,2005
40035,2001,1136.143,2,1,35,4,2010
40036,2001,1108.31,2,0,36,4,0
40037,2001,951.6364,2,0,37,4,0
40038,2001,1128.042,2,1,38,4,2006
40039,2001,1199.84,2,1,39,4,2007
40040,2001,1106.192,2,0,40,4,0
40041,2001,1170.381,2,1,41,4,2007
40042,2001,1208.615,2,0,42,4,0
40043,2001,1009.048,2,0,43,4,0
40044,2001,1114.594,2,0,44,4,0
40045,2001,1180.591,2,0,1,4,0
40046,2001,1037.188,2,0,1,4,0
40047,2001,1079.76,2,0,1,4,0
40048,2001,1166.792,2,1,1,4,2008
40049,2001,1253.828,2,1,1,4,2009
40050,2001,1164.444,2,0,1,4,0
40051,2001,1101.231,2,1,2,4,2006
40052,2001,1149.645,2,1,2,4,2010
40053,2001,1120.6,2,1,2,4,2006
40054,2001,1051.654,2,1,2,4,2010
40055,2001,1174.5,2,0,2,4,0
40056,2001,1162.926,2,1,2,4,2004
40057,2001,1144.444,2,1,2,4,2012
40058,2001,1116.667,2,1,3,4,2012
40059,2001,1119.409,2,1,3,4,2009
40060,2001,1086,2,1,3,4,2009
40061,2001,1134.261,2,0,3,4,0
40062,2001,1134.467,2,1,3,4,2010
40063,2001,1127.034,2,0,4,4,0
40064,2001,1014.182,2,0,4,4,0
40065,2001,1184.032,2,0,4,4,0
40066,2001,1138.727,2,0,4,4,0
40067,2001,1138.906,2,0,4,4,0
40068,2001,1173.444,2,1,4,4,2006
40069,2001,1043,2,1,4,4,2004
40070,2001,1172.552,2,1,5,4,2010
40071,2001,1086.407,2,0,5,4,0
40072,2001,1155.75,2,1,5,4,2006
40073,2001,1163.321,2,0,5,4,0
40074,2001,1071.654,2,0,5,4,0
40075,2001,1077.81,2,0,6,4,0
40076,2001,1084.033,2,0,6,4,0
40077,2001,1089.28,2,1,6,4,2008
40078,2001,1065.844,2,0,6,4,0
40079,2001,1164.167,2,0,7,4,0
40080,2001,1130.935,2,1,7,4,2011
40081,2001,1125.167,2,0,7,4,0
40082,2001,1060.645,2,1,7,4,2006
40083,2001,940.1304,2,0,7,4,0
40084,2001,1224.04,2,0,7,4,0
40085,2001,1168.065,2,0,8,4,0
40086,2001,1134.667,2,0,8,4,0
40087,2001,1099.429,2,0,8,4,0
40088,2001,1084.645,2,0,8,4,0
40089,2001,1159.143,2,1,8,4,2012
40090,2001,1144.581,2,1,9,4,2005
40091,2001,1130.25,2,0,9,4,0
40092,2001,1018.227,2,0,9,4,0
40093,2001,1125.435,2,1,9,4,2011
40094,2001,1120.615,2,0,9,4,0
40095,2001,1098.583,2,1,9,4,2009
40096,2001,1207.613,2,0,9,4,0
40097,2001,1172.409,2,1,10,4,2005
40098,2001,1041.346,2,0,10,4,0
40099,2001,1161.652,2,1,10,4,2004
40100,2001,1147.5,2,1,10,4,2004
40101,2001,1010.762,2,0,10,4,0
40102,2001,1053,2,0,10,4,0
40103,2001,1159.786,2,1,10,4,2008
40104,2001,1206.095,2,0,11,4,0
40105,2001,1072.038,2,0,11,4,0
40106,2001,1184.2,2,1,11,4,2007
40107,2001,1138.065,2,0,11,4,0
40108,2001,1145.909,2,0,11,4,0
40109,2001,1177.261,2,0,11,4,0
40110,2001,1156.76,2,1,12,4,2007
40111,2001,1036.08,2,0,12,4,0
40112,2001,1219.591,2,1,12,4,2006
40113,2001,1074.818,2,0,12,4,0
40114,2001,1046.313,2,0,12,4,0
40115,2001,1101.793,2,0,12,4,0
40116,2001,929.0455,2,0,13,4,0
40117,2001,1121.138,2,0,13,4,0
40118,2001,1081.64,2,1,13,4,2011
40119,2001,1118.037,2,0,13,4,0
40120,2001,1165.75,2,1,13,4,2006
40121,2001,1110.214,2,0,14,4,0
40122,2001,1150.435,2,1,14,4,2007
40123,2001,1132.313,2,0,14,4,0
40124,2001,1076.423,2,1,14,4,2010
40125,2001,1145.423,2,1,14,4,2004
40126,2001,1132.045,2,1,14,4,2009
40127,2001,1086.857,2,1,14,4,2009
40128,2001,1176.591,2,1,15,4,2009
40129,2001,1027.346,2,1,15,4,2008
40130,2001,1141.4,2,1,15,4,2010
40131,2001,1074.533,2,0,15,4,0
40132,2001,1148.3,2,1,15,4,2012
40133,2001,1177.71,2,1,16,4,2007
40134,2001,1215.87,2,1,16,4,2005
40135,2001,1218.333,2,1,16,4,2006
40136,2001,1041.621,2,0,16,4,0
40137,2001,1172.32,2,1,17,4,2011
40138,2001,995.5238,2,0,17,4,0
40139,2001,1161.269,2,0,17,4,0
40140,2001,1120.28,2,1,17,4,2008
40141,2001,1163.069,2,0,18,4,0
40142,2001,1044.08,2,1,18,4,2009
40143,2001,1171,2,1,18,4,2009
40144,2001,1144.739,2,0,18,4,0
40145,2001,1000.04,2,1,18,4,2004
40146,2001,1052.345,2,0,18,4,0
40147,2001,1181.704,2,1,19,4,2011
40148,2001,1083.731,2,1,19,4,2011
40149,2001,1093.5,2,0,19,4,0
40150,2001,1142.68,2,0,19,4,0
40151,2001,1213.091,2,0,19,4,0
40152,2001,1112.357,2,0,19,4,0
40153,2001,1197.741,2,1,20,4,2004
40154,2001,1065.938,2,0,20,4,0
40155,2001,1051.281,2,0,20,4,0
40156,2001,1115.154,2,1,20,4,2006
40157,2001,1095.692,2,1,20,4,2004
40158,2001,1158.593,2,0,21,4,0
40159,2001,1144.345,2,1,21,4,2006
40160,2001,1064.414,2,0,21,4,0
40161,2001,1083.318,2,1,21,4,2010
40162,2001,1101.69,2,1,22,4,2007
40163,2001,1018.957,2,0,22,4,0
40164,2001,1098.313,2,1,22,4,2008
40165,2001,1197.406,2,1,22,4,2004
40166,2001,1147.867,2,0,22,4,0
40167,2001,999.16,2,1,22,4,2008
40168,2001,1132.12,2,0,23,4,0
40169,2001,1102.905,2,0,23,4,0
40170,2001,1015.522,2,0,23,4,0
40171,2001,1223,2,1,23,4,2008
40172,2001,928.3182,2,0,23,4,0
40173,2001,1056.786,2,0,24,4,0
40174,2001,1064.296,2,0,24,4,0
40175,2001,1116.08,2,0,24,4,0
40176,2001,1067.348,2,0,24,4,0
40177,2001,1163.217,2,0,25,4,0
40178,2001,1141.68,2,0,25,4,0
40179,2001,1106.88,2,1,25,4,2005
40180,2001,1038.2,2,1,25,4,2005
40181,2001,1122.893,2,1,25,4,2005
40182,2001,991.1429,2,0,25,4,0
40183,2001,1178.909,2,0,25,4,0
40184,2001,1025.227,2,0,26,4,0
40185,2001,1042.226,2,0,26,4,0
40186,2001,1134.955,2,1,26,4,2011
40187,2001,1126.032,2,0,26,4,0
40188,2001,1074.476,2,1,27,4,2008
40189,2001,1218.417,2,1,27,4,2007
40190,2001,932.44,2,0,27,4,0
40191,2001,1326.762,2,1,27,4,2011
40192,2001,1104.929,2,1,28,4,2006
40193,2001,1057.75,2,1,28,4,2008
40194,2001,1198.29,2,1,28,4,2004
40195,2001,1250.793,2,1,28,4,2010
40196,2001,1157.833,2,1,28,4,2005
40197,2001,1105.862,2,0,29,4,0
40198,2001,1076,2,0,29,4,0
40199,2001,1108.087,2,0,29,4,0
40200,2001,1118.188,2,1,29,4,2009
40201,2001,1093.565,2,0,29,4,0
40202,2001,1202.72,2,0,29,4,0
40203,2001,1103.593,2,0,29,4,0
40204,2001,1119.357,2,0,30,4,0
40205,2001,1195.24,2,0,30,4,0
40206,2001,1223.045,2,1,30,4,2012
40207,2001,1058.5,2,0,30,4,0
40208,2001,1080.767,2,0,31,4,0
40209,2001,1010.929,2,0,31,4,0
40210,2001,993.7727,2,1,31,4,2005
40211,2001,1273.346,2,1,31,4,2004
40212,2001,1128.821,2,1,32,4,2006
40213,2001,1168,2,1,32,4,2008
40214,2001,1024.033,2,1,32,4,2010
40215,2001,1095.833,2,0,32,4,0
40216,2001,1167.609,2,1,32,4,2010
40217,2001,1050.957,2,0,32,4,0
40218,2001,1221.273,2,1,33,4,2004
40219,2001,1012,2,1,33,4,2006
40220,2001,1064.806,2,0,33,4,0
40221,2001,989.6522,2,0,33,4,0
40222,2001,1029.217,2,0,33,4,0
40223,2001,1001.125,2,0,33,4,0
40224,2001,1085.37,2,0,34,4,0
40225,2001,1261.818,2,0,34,4,0
40226,2001,1180.704,2,0,34,4,0
40227,2001,1079.4,2,0,34,4,0
40228,2001,1138.28,2,0,34,4,0
40229,2001,1000.935,2,0,34,4,0
40230,2001,1023.077,2,1,35,4,2006
40231,2001,1149.935,2,0,35,4,0
40232,2001,1138.682,2,1,35,4,2007
40233,2001,1188.767,2,1,35,4,2006
40234,2001,1275.857,2,1,35,4,2005
40235,2001,1001.37,2,0,35,4,0
40236,2001,1132.24,2,1,36,4,2010
40237,2001,1134.258,2,1,36,4,2004
40238,2001,1056.5,2,1,36,4,2004
40239,2001,976.7037,2,0,36,4,0
40240,2001,1015.5,2,0,37,4,0
40241,2001,1055.32,2,0,37,4,0
40242,2001,1193.571,2,0,37,4,0
40243,2001,1061.64,2,0,37,4,0
40244,2001,1042.036,2,0,38,4,0
40245,2001,1050.871,2,0,38,4,0
40246,2001,1028.345,2,0,38,4,0
40247,2001,1004.609,2,0,38,4,0
40248,2001,1224.773,2,1,39,4,2011
40249,2001,1178.522,2,0,39,4,0
40250,2001,1143.136,2,1,39,4,2005
40251,2001,1265.5,2,1,39,4,2007
40252,2001,1086.517,2,1,39,4,2008
40253,2001,1181.156,2,0,39,4,0
40254,2001,1079.591,2,1,40,4,2005
40255,2001,1227.143,2,1,40,4,2009
40256,2001,1142.833,2,1,40,4,2011
40257,2001,1110.679,2,0,40,4,0
40258,2001,1143.083,2,0,41,4,0
40259,2001,1055.258,2,0,41,4,0
40260,2001,1094.031,2,0,41,4,0
40261,2001,1098.87,2,1,41,4,2006
40262,2001,1128,2,1,42,4,2005
40263,2001,1169.739,2,1,42,4,2010
40264,2001,1067.64,2,0,42,4,0
40265,2001,947.5238,2,1,42,4,2004
40266,2001,1168.519,2,0,42,4,0
40267,2001,1207.24,2,1,42,4,2012
40268,2001,1265.619,2,0,42,4,0
40269,2001,1026.774,2,0,43,4,0
40270,2001,1100.536,2,1,43,4,2011
40271,2001,1161.107,2,1,43,4,2009
40272,2001,1139.5,2,0,43,4,0
40273,2001,1100.259,2,0,44,4,0
40274,2001,1067.567,2,1,44,4,2012
40275,2001,1196.679,2,1,44,4,2006
40276,2001,1138.429,2,0,44,4,0
40277,2001,1154.548,2,0,44,4,0
50001,2001,1100.065,2,1,1,5,2008
50002,2001,1283.32,2,1,2,5,2011
50003,2001,1132.5,2,0,3,5,0
50004,2001,1179.5,2,1,4,5,2005
50005,2001,1084.393,2,1,5,5,2005
50006,2001,1103.125,2,0,6,5,0
50007,2001,898.7419,2,0,7,5,0
50008,2001,1116,2,0,8,5,0
50009,2001,1111.613,2,1,9,5,2012
50010,2001,1151.043,2,1,10,5,2008
50011,2001,1099.48,2,1,11,5,2007
50012,2001,1086.667,2,1,12,5,2011
50013,2001,1173.536,2,1,13,5,2005
50014,2001,1092.115,2,1,14,5,2006
50015,2001,1191.32,2,1,15,5,2009
50016,2001,1078.92,2,1,16,5,2011
50017,2001,1187.375,2,0,17,5,0
50018,2001,1045.391,2,1,18,5,2004
50019,2001,1070.304,2,0,19,5,0
50020,2001,1195.069,2,1,20,5,2008
50021,2001,1146.962,2,0,21,5,0
50022,2001,1108.75,2,0,22,5,0
50023,2001,1181.095,2,1,23,5,2004
50024,2001,1083.31,2,1,24,5,2004
50025,2001,1191.419,2,1,25,5,2008
50026,2001,1117.048,2,1,26,5,2010
50027,2001,1146.115,2,1,27,5,2009
50028,2001,1059.571,2,1,28,5,2012
50029,2001,1160.607,2,0,29,5,0
50030,2001,1168.032,2,1,30,5,2012
50031,2001,1024.889,2,1,31,5,2009
50032,2001,1227.179,2,0,32,5,0
50033,2001,1092.125,2,0,33,5,0
50034,2001,1191.905,2,1,34,5,2004
50035,2001,1042.696,2,1,35,5,2008
50036,2001,1102.219,2,0,36,5,0
50037,2001,1168.087,2,0,37,5,0
50038,2001,1212.63,2,1,38,5,2012
50039,2001,1129.583,2,0,39,5,0
50040,2001,1122.069,2,0,40,5,0
50041,2001,1052.567,2,1,41,5,2004
50042,2001,1138.286,2,1,42,5,2004
50043,2001,1011.828,2,0,43,5,0
50044,2001,1180.69,2,1,44,5,2005
50045,2001,1137.308,2,1,1,5,2012
50046,2001,1219.806,2,1,1,5,2011
50047,2001,1238.273,2,1,1,5,2010
50048,2001,1127.556,2,1,1,5,2012
50049,2001,1160.258,2,1,1,5,2008
50050,2001,1228.519,2,1,1,5,2009
50051,2001,1210,2,1,2,5,2010
50052,2001,1193.5,2,0,2,5,0
50053,2001,1075.88,2,1,2,5,2005
50054,2001,1190.5,2,1,2,5,2009
50055,2001,1082.667,2,0,2,5,0
50056,2001,1239.24,2,1,3,5,2007
50057,2001,1146.074,2,0,3,5,0
50058,2001,1105.095,2,1,3,5,2012
50059,2001,1015.182,2,1,3,5,2011
50060,2001,1150.6,2,0,3,5,0
50061,2001,1010.13,2,0,3,5,0
50062,2001,1150.517,2,1,3,5,2012
50063,2001,1107.364,2,1,4,5,2006
50064,2001,1188.613,2,1,4,5,2006
50065,2001,1164.905,2,0,4,5,0
50066,2001,997.5217,2,0,4,5,0
50067,2001,1161.889,2,0,4,5,0
50068,2001,1065.677,2,0,4,5,0
50069,2001,1241.783,2,1,4,5,2006
50070,2001,1034.182,2,1,5,5,2012
50071,2001,1020.931,2,0,5,5,0
50072,2001,1078,2,1,5,5,2009
50073,2001,1152.179,2,0,5,5,0
50074,2001,1135.259,2,0,5,5,0
50075,2001,1098.033,2,0,5,5,0
50076,2001,999.3333,2,0,5,5,0
50077,2001,1169.045,2,1,6,5,2007
50078,2001,1187.4,2,1,6,5,2009
50079,2001,1155.696,2,0,6,5,0
50080,2001,1049.261,2,0,6,5,0
50081,2001,1123.345,2,1,6,5,2011
50082,2001,1241.25,2,0,7,5,0
50083,2001,1332.667,2,1,7,5,2004
50084,2001,1086.154,2,1,7,5,2012
50085,2001,1092.84,2,1,7,5,2009
