S,compulsoryS,female,xpr,xpr2,lnearn
18,10,1,34.52826,1192.2,4.010065
13,11,1,10.15632,103.1508,9.691736
12,11,1,2.155344,4.645508,11.7217
17,9,1,4.05276,16.42486,10.91054
11,9,1,19.96148,398.4607,7.520161
11,10,0,4.57997,20.97613,7.213281
16,9,1,7.653884,58.58194,11.15322
15,11,0,21.92426,480.6733,7.103396
12,10,1,31.54348,994.991,4.059702
11,11,1,24.05105,578.4528,5.494786
15,10,0,28.83014,831.1768,3.89195
13,12,0,27.17895,738.6952,4.984054
13,10,1,16.9023,285.6877,9.070592
10,10,1,29.94586,896.7548,5.217818
11,11,0,34.23293,1171.894,.3075643
11,11,0,28.27207,799.3102,5.125417
14,11,1,6.169332,38.06065,8.946131
12,12,0,31.76795,1009.203,2.371264
11,11,0,5.404091,29.2042,7.658124
11,10,1,31.30791,980.1852,5.87991
16,11,1,22.86179,522.6616,8.594128
9,11,1,9.157384,83.85768,7.30002
17,10,0,5.79504,33.58249,8.142179
10,10,0,1.935292,3.745354,9.483214
13,11,1,32.1624,1034.42,3.217479
17,11,0,22.17156,491.5781,5.308091
14,12,0,23.42337,548.6544,5.970218
11,10,1,21.51144,462.7419,8.093203
10,10,1,9.298938,86.47025,8.687581
9,9,0,23.30203,542.9846,2.847929
18,11,0,34.55899,1194.324,.7456403
11,11,0,18.51798,342.9157,6.578301
10,9,0,16.58403,275.03,7.512093
11,11,0,34.53494,1192.662,1.889527
10,10,0,7.836523,61.41109,8.940967
14,11,0,18.65315,347.9399,8.763336
15,12,0,11.6163,134.9384,10.1435
11,12,0,32.57692,1061.256,1.080857
9,9,0,17.50443,306.4052,8.756632
11,11,1,30.54269,932.856,3.75639
12,11,1,16.37628,268.1825,8.044507
15,11,1,34.7094,1204.743,2.201592
16,9,0,26.16193,684.4468,5.010332
17,11,0,16.56554,274.4173,8.37229
12,10,0,7.947323,63.15994,9.766372
14,10,1,3.844424,14.77959,10.86244
12,11,0,15.84528,251.073,7.772824
15,12,0,10.17713,103.574,10.91551
14,10,0,20.99492,440.7866,6.319864
12,10,0,30.58194,935.2551,3.025245
11,10,1,3.754527,14.09648,8.480772
18,10,0,20.03642,401.4583,7.268794
16,11,1,20.67825,427.5901,10.39081
11,11,0,29.96003,897.6035,2.961067
14,11,1,2.571328,6.611729,11.17564
10,10,1,32.75346,1072.789,2.798136
12,10,1,22.82471,520.9676,4.584394
13,10,1,12.44455,154.8669,8.577332
18,11,0,20.56986,423.1191,8.802116
17,12,0,34.2757,1174.824,2.590889
16,10,1,16.50849,272.5302,9.287563
10,10,1,26.05118,678.664,5.388171
15,12,0,12.47379,155.5954,8.602129
15,11,1,28.63213,819.7991,6.686351
12,12,1,25.78773,665.0073,7.342948
12,12,0,34.02535,1157.725,-.7497861
17,11,1,6.148179,37.80011,9.485766
14,10,1,1.14156,1.303159,9.68443
11,11,0,20.46396,418.7737,6.757904
15,11,0,6.53044,42.64665,8.313568
17,10,0,5.617066,31.55143,11.12767
13,12,1,17.22231,296.6078,7.727848
15,11,1,23.88048,570.2774,6.305782
12,12,1,1.355025,1.836092,9.227963
11,10,1,8.993529,80.88357,9.521817
8,9,0,26.50959,702.7584,3.641972
11,11,1,18.03257,325.1734,7.614875
17,12,0,4.344361,18.87348,8.776596
9,11,0,24.25989,588.5424,5.633364
11,11,1,6.34201,40.2211,8.733316
14,11,1,2.748651,7.55508,6.968003
16,10,1,30.77362,947.0155,5.755863
11,11,0,28.94108,837.5859,2.315649
16,10,1,24.28873,589.9424,7.743412
11,11,1,30.31733,919.1403,5.168827
11,11,1,16.3559,267.5154,8.055364
11,11,0,10.75579,115.6869,9.773798
16,10,1,2.774694,7.698928,11.52445
16,10,1,22.19824,492.7617,6.696485
15,10,0,4.724587,22.32173,6.960483
13,9,0,22.36556,500.2185,6.877192
18,10,1,26.57277,706.1119,7.166148
12,12,1,15.34318,235.4133,9.3978
11,10,0,25.98196,675.0621,2.767806
13,11,1,14.99133,224.74,9.036396
10,10,0,18.46229,340.856,8.139367
16,12,1,8.116979,65.88535,9.91276
11,11,0,15.16777,230.0611,7.734963
11,11,0,10.01678,100.3358,7.588885
12,12,0,9.117515,83.12907,8.853882
11,10,1,8.521863,72.62215,8.592713
11,11,1,2.829197,8.004356,9.734735
14,11,1,10.15715,103.1676,12.22155
10,10,0,26.60575,707.8657,5.750221
11,9,0,26.34284,693.9451,5.476584
17,12,1,13.93562,194.2014,9.583467
14,11,0,3.103382,9.63098,7.62216
14,10,1,30.77234,946.9368,3.279214
18,11,1,11.07463,122.6475,11.66431
13,12,1,23.86179,569.3852,8.293313
15,10,0,17.64869,311.4762,7.328113
12,9,1,20.59995,424.3577,8.572065
16,11,1,28.26232,798.7586,3.831728
10,10,0,34.63034,1199.26,.7066608
16,11,1,9.363973,87.68398,12.3213
15,11,1,5.951543,35.42087,9.889768
11,11,0,10.53043,110.89,7.08421
14,10,0,24.84934,617.4898,2.81747
15,9,0,18.70483,349.8707,7.239931
15,10,1,17.49327,306.0146,9.468349
10,10,0,27.78543,772.0303,3.865987
12,12,0,3.639314,13.24461,10.22102
10,10,1,23.62788,558.2766,6.584844
12,9,0,32.51617,1057.301,1.224887
14,11,1,16.81612,282.7819,8.373541
13,11,0,13.34922,178.2017,7.305486
11,10,0,3.151804,9.933871,10.50922
16,12,0,12.40497,153.8834,9.609618
12,11,1,1.489539,2.218727,8.747532
14,10,0,15.38483,236.693,6.537803
11,9,0,23.34822,545.1392,6.987639
14,11,1,22.13087,489.7756,9.65764
11,11,1,14.70364,216.1971,8.268515
14,10,0,22.89893,524.3611,5.333869
13,9,0,7.877981,62.06258,8.890852
9,9,1,33.8129,1143.313,1.720407
16,11,0,16.77317,281.3391,7.412941
17,12,0,10.15528,103.1297,11.26963
11,9,1,21.97744,483.0079,8.444431
14,11,1,30.86766,952.8127,5.556872
14,11,1,2.934505,8.61132,10.32053
13,11,0,24.12076,581.811,6.085696
15,9,0,4.036401,16.29253,10.12153
12,11,1,26.74688,715.3957,6.765424
14,11,0,29.42737,865.97,4.50341
11,11,1,8.450363,71.40864,9.385357
14,9,0,3.00401,9.024075,9.42281
12,11,1,12.92896,167.158,8.142057
18,10,1,29.8528,891.1899,5.13338
14,9,0,33.98367,1154.89,-.4503983
13,11,1,30.32899,919.8476,3.417357
16,11,1,5.757468,33.14844,11.04272
13,11,0,13.13398,172.5014,7.192233
13,12,1,22.71557,515.9969,7.686209
13,9,1,33.03978,1091.627,4.268276
13,9,0,30.80013,948.6481,2.771728
13,11,0,24.47774,599.1597,3.325856
11,11,0,33.60692,1129.425,-.5992009
13,10,0,22.96481,527.3824,5.903589
15,10,0,9.248398,85.53286,9.589664
11,10,0,4.136919,17.1141,8.068472
15,11,1,24.12509,582.0201,5.826055
10,9,1,13.60976,185.2255,7.518932
11,11,1,30.75298,945.7457,4.284486
13,10,0,23.84092,568.3896,5.449134
11,9,1,29.88135,892.8953,6.333312
15,11,0,10.88973,118.5861,7.356731
16,9,0,12.9484,167.6609,9.692578
11,11,0,28.50673,812.6335,4.463447
18,11,1,27.0144,729.778,6.647268
11,11,0,17.33158,300.3837,5.792926
17,10,0,17.24915,297.5333,9.474933
11,11,0,25.10366,630.194,4.799347
12,12,1,24.26772,588.9222,5.52684
10,10,1,5.813162,33.79285,7.311522
16,11,1,8.724648,76.11949,10.96415
17,10,1,6.548429,42.88192,12.7246
17,11,0,29.82062,889.2691,4.318792
9,10,1,2.697922,7.278783,8.028904
18,10,0,2.936398,8.622434,9.712558
10,10,0,26.93402,725.4413,4.862883
15,10,0,11.71123,137.153,11.27731
11,10,1,22.69466,515.0476,7.863231
10,10,1,19.2172,369.3009,6.85052
11,11,1,19.79135,391.6977,8.721246
12,12,0,10.19807,104.0007,8.142901
11,11,0,28.94161,837.6167,3.317563
16,10,1,26.5083,702.6901,5.129252
11,11,1,13.43899,180.6063,9.422574
9,9,0,4.311453,18.58863,9.30053
17,9,1,7.58278,57.49856,9.913183
9,9,0,2.046391,4.187717,5.972081
11,10,0,6.568159,43.14071,8.817335
15,10,1,9.299465,86.48005,13.15122
12,11,0,29.55408,873.4438,2.938462
12,12,0,31.8661,1015.448,2.757683
14,9,0,26.02609,677.3576,4.727077
17,10,0,7.386167,54.55546,10.53924
14,11,1,34.21739,1170.83,-.5573193
15,11,0,18.90205,357.2874,7.501047
16,10,0,4.518219,20.4143,9.025255
14,11,0,9.749438,95.05154,7.260492
14,10,1,3.962027,15.69766,10.81834
16,10,1,29.35682,861.8232,6.019775
12,12,0,5.867975,34.43313,7.589297
12,10,0,31.23459,975.5994,1.454348
11,10,1,7.442985,55.39802,9.087132
18,10,1,4.420431,19.54021,12.11984
13,10,1,26.50473,702.5009,5.732247
16,9,1,17.48388,305.6862,9.228918
10,10,0,7.761137,60.23526,9.346502
16,11,0,15.71851,247.0715,9.304553
16,10,1,25.32066,641.1359,9.180063
10,10,1,24.88506,619.266,6.104187
11,9,1,29.03904,843.2657,2.794388
16,10,1,24.80357,615.2172,7.126451
11,11,1,9.835979,96.74648,8.585792
17,10,1,34.1276,1164.693,1.659643
15,9,0,8.158142,66.55528,9.20484
8,10,1,23.69172,561.2974,8.725563
13,12,0,10.00168,100.0335,8.014389
11,9,0,25.85276,668.3654,5.640508
12,11,0,8.783422,77.14849,7.34455
11,11,1,17.38965,302.3998,6.922674
12,11,1,5.198527,27.02469,11.90548
8,11,1,4.008104,16.0649,11.56609
14,10,1,9.511354,90.46587,12.72494
11,10,1,22.6059,511.0266,5.793775
18,10,1,34.49773,1190.094,3.699481
11,11,1,15.81961,250.26,7.818627
16,11,1,12.69522,161.1686,9.843615
9,9,1,2.97339,8.84105,8.442652
12,12,0,28.35921,804.2445,4.237855
13,11,0,7.414926,54.98113,10.30092
9,9,0,10.58243,111.9877,8.097615
11,11,1,21.85757,477.7535,7.402483
11,11,0,22.24033,494.6324,4.456787
12,12,1,27.74786,769.944,6.106266
11,11,1,6.342786,40.23094,8.962663
11,11,0,7.930488,62.89264,9.040223
13,11,0,9.114434,83.07291,9.474363
13,10,1,30.12017,907.2245,5.774573
10,10,0,30.82043,949.8989,3.563354
12,11,1,13.22302,174.8483,8.165922
18,12,1,12.26207,150.3583,11.42074
16,12,1,11.02101,121.4627,10.38815
14,10,0,2.269011,5.148413,8.088338
13,10,1,23.80846,566.843,7.634678
18,12,0,14.92309,222.6985,9.078476
18,11,0,11.4239,130.5055,8.238969
16,12,0,30.69062,941.9139,3.963353
17,9,0,5.739738,32.94459,9.257881
11,11,0,19.35408,374.5803,7.148191
11,9,1,10.44803,109.1614,8.446619
15,10,1,5.056719,25.57041,11.26938
15,9,0,10.54532,111.2038,9.309365
17,10,0,19.80714,392.3227,8.672401
11,9,1,27.2173,740.7813,4.139298
17,12,1,27.56904,760.0521,5.14895
18,11,0,16.03638,257.1654,6.041529
8,11,0,13.30445,177.0083,7.932088
15,11,0,1.665521,2.773959,10.45899
15,11,1,2.348968,5.517652,12.26851
12,10,0,31.60883,999.1181,2.237948
12,9,0,3.908475,15.27618,7.56658
10,10,0,21.11683,445.9207,4.707283
12,11,1,17.499,306.2151,10.15479
17,10,1,13.36274,178.5629,10.68003
14,11,1,16.10649,259.4191,8.777893
11,11,0,1.63554,2.67499,9.261236
14,10,1,16.26796,264.6465,9.716364
10,10,1,34.77412,1209.239,.4262351
14,11,1,11.21051,125.6756,11.25248
17,11,1,10.92047,119.2566,11.97682
11,10,1,21.41094,458.4283,7.625328
17,10,1,6.558272,43.01093,8.862135
12,10,0,6.100882,37.22076,9.514204
13,11,1,1.68874,2.851843,9.686829
15,10,0,17.19156,295.5497,9.329462
16,11,1,15.42485,237.9261,8.752748
12,12,0,15.23244,232.0273,8.602125
13,9,1,28.18412,794.3448,3.799526
12,12,1,25.40604,645.4671,6.367899
14,12,1,20.61647,425.0388,9.542668
16,10,1,33.7748,1140.737,4.397968
13,9,1,9.560591,91.40489,9.32015
10,10,0,25.74526,662.8186,4.071235
17,12,1,27.87569,777.0543,5.204919
14,10,0,13.9208,193.7888,6.043939
14,9,1,10.88902,118.5708,10.70681
10,10,1,24.71766,610.963,5.278094
16,12,1,22.5633,509.1027,9.814356
17,12,0,31.71337,1005.738,5.08876
12,11,0,29.07855,845.5623,4.674788
10,10,1,11.64389,135.5802,8.748798
9,9,1,17.98593,323.4936,7.900104
17,11,1,8.797527,77.39648,11.63833
12,11,1,1.637761,2.68226,12.59795
11,10,0,18.0421,325.5173,7.326214
16,10,1,18.26074,333.4547,9.688299
10,10,1,32.44268,1052.528,2.344871
12,10,0,13.83362,191.3689,5.995571
17,12,0,26.02119,677.1025,4.589871
12,12,0,10.04612,100.9246,8.822814
15,10,1,26.30856,692.1404,4.353113
17,10,1,16.16657,261.3579,10.99918
12,12,1,33.09739,1095.437,2.289329
12,9,1,14.51516,210.6898,10.09174
11,11,0,5.783621,33.45027,8.224581
17,9,1,12.24166,149.8582,10.6157
10,10,1,25.09669,629.844,7.813511
13,11,1,16.06437,258.064,7.476583
11,10,1,3.118007,9.721966,8.567787
14,11,1,18.39059,338.2138,7.477317
17,12,1,2.739243,7.50345,11.1837
14,10,0,22.94223,526.3458,6.452286
12,11,1,6.466746,41.81881,11.62098
10,10,0,6.612448,43.72446,9.652913
12,12,0,8.107007,65.72356,11.00554
12,11,1,3.906898,15.26386,10.16698
17,12,0,21.59366,466.2862,7.364267
17,11,1,4.21209,17.74171,10.72533
13,11,0,5.767919,33.26889,7.952454
11,9,0,28.01771,784.9921,3.294371
13,11,1,16.55925,274.2088,7.985975
14,10,1,14.80539,219.1996,11.07914
12,9,1,5.061755,25.62136,10.12715
10,10,1,28.51792,813.2716,3.681833
11,9,1,9.794212,95.9266,10.8358
18,11,1,25.81556,666.4429,6.037237
14,10,1,18.89926,357.1821,6.88901
17,10,1,26.15494,684.0807,7.0745
15,12,1,13.0223,169.5804,11.78009
14,10,1,5.566834,30.98965,11.16892
15,10,1,15.21078,231.3678,10.65261
11,10,1,19.5028,380.3591,5.946068
12,12,0,4.33863,18.82371,9.054124
17,11,0,10.5074,110.4055,11.12706
14,12,1,32.18961,1036.171,5.62649
11,11,0,12.09938,146.3949,7.596841
12,10,0,7.284752,53.06761,10.06007
17,11,0,27.66667,765.4447,5.085866
17,11,1,25.78523,664.878,6.82157
15,11,1,8.304207,68.95985,11.85539
11,11,0,28.93635,837.3124,6.365057
10,9,1,18.68545,349.146,9.409095
12,12,1,9.607705,92.308,6.246348
9,10,1,33.87658,1147.623,1.41462
18,10,1,1.420038,2.016509,12.18654
17,10,1,33.58644,1128.049,4.901314
9,9,0,25.86729,669.1166,3.136791
12,9,0,13.28532,176.4998,6.370612
11,11,0,26.58009,706.5013,2.9048
11,11,1,11.02223,121.4896,9.727641
14,10,1,30.97436,959.4107,3.836486
8,10,0,7.712632,59.4847,8.045303
9,9,0,26.91839,724.5995,6.496922
12,11,1,32.12261,1031.862,3.517804
12,9,1,21.82119,476.1644,9.365968
10,12,1,27.79893,772.7808,4.671374
10,10,0,26.65038,710.2425,4.507967
17,11,1,12.52451,156.8632,9.454821
10,10,1,22.24105,494.6644,7.624845
14,10,1,29.20533,852.951,4.186893
14,10,1,29.18497,851.7626,4.148671
13,12,0,3.620657,13.10916,6.98517
17,9,0,30.40215,924.2906,2.219891
15,10,1,19.21864,369.3562,10.41424
12,11,1,11.05766,122.2719,6.308941
17,10,1,21.89763,479.5063,7.622757
13,11,1,2.44264,5.96649,9.449426
16,11,1,28.91455,836.0509,5.505391
15,9,0,23.60417,557.1567,6.371447
11,11,0,33.56924,1126.894,.4249819
14,11,1,26.82709,719.6926,3.618308
14,11,0,23.92151,572.2388,7.478508
17,9,0,20.44457,417.9805,8.03618
12,11,1,33.8457,1145.531,2.13543
10,10,1,18.0808,326.9152,7.824171
10,10,1,11.39363,129.8148,9.227334
16,11,0,32.26466,1041.009,2.006404
13,9,1,6.742383,45.45974,9.284472
11,11,1,26.02223,677.1567,5.616189
15,9,0,3.344897,11.18834,8.937779
14,10,1,15.4383,238.3411,9.125011
11,11,1,14.05661,197.5882,7.012813
18,10,0,5.338472,28.49929,9.584073
16,10,1,10.57187,111.7644,9.65888
18,9,1,28.63825,820.1492,5.809444
16,12,1,13.43858,180.5954,9.670865
13,10,0,25.17327,633.6933,4.786823
15,10,1,30.25665,915.4647,4.713586
11,11,0,16.29002,265.3647,8.130755
16,10,1,19.86723,394.7068,9.688294
12,12,1,21.95839,482.1709,7.306687
12,11,0,2.519386,6.347305,8.367919
15,10,1,13.3461,178.1183,10.5941
10,10,0,7.619304,58.05379,7.684124
17,11,0,28.30115,800.9551,3.795946
17,9,1,32.70024,1069.306,4.567467
12,12,1,32.71837,1070.492,4.432018
9,9,0,1.266607,1.604292,8.516818
10,10,0,22.14959,490.6042,5.125139
13,10,1,3.514601,12.35242,11.0676
12,10,1,13.77837,189.8434,8.741155
18,11,0,22.24824,494.984,8.166425
12,12,0,13.45644,181.0757,8.188496
10,10,0,10.06186,101.241,9.376878
10,10,1,28.313,801.6257,4.778677
13,9,1,10.24043,104.8664,11.10124
10,10,1,19.29597,372.3344,7.636223
18,10,1,19.081,364.0845,9.41212
10,10,0,28.16096,793.0397,4.73485
12,10,0,7.566793,57.25636,8.972542
12,12,0,23.80956,566.8953,5.679964
12,10,1,15.31399,234.5184,9.940137
10,10,0,12.29058,151.0584,8.713484
17,9,0,11.41269,130.2496,7.381483
11,10,1,12.22136,149.3617,11.4123
12,10,1,8.899243,79.19653,8.680845
13,11,0,27.4809,755.2,5.138321
15,10,0,17.30407,299.4309,7.561988
17,10,0,12.86721,165.5651,8.163048
15,11,0,32.273,1041.547,-.0847045
15,10,0,18.28249,334.2496,7.933055
11,10,1,34.14061,1165.582,2.779152
17,10,0,31.6015,998.6545,3.477342
14,11,1,10.59083,112.1656,10.40775
16,10,1,13.22088,174.7917,8.695006
12,11,1,4.14595,17.1889,9.163644
11,11,0,28.42755,808.1254,5.503116
14,9,1,8.675328,75.26132,11.03881
11,11,0,27.53904,758.3989,4.437487
16,10,1,5.77569,33.35859,12.26483
11,11,1,29.29038,857.9263,3.240927
18,11,1,9.063267,82.14281,11.24964
11,10,0,31.25057,976.5981,3.576179
14,10,1,32.11443,1031.337,4.420699
11,11,1,11.09361,123.0682,8.350291
18,12,0,17.96226,322.6428,5.688787
11,11,0,33.91142,1149.985,1.598121
10,10,1,9.181646,84.30263,8.394604
14,9,0,34.02635,1157.792,1.172004
14,11,0,24.66041,608.1357,5.6293
16,12,0,2.444431,5.975242,8.190608
13,10,1,12.13256,147.1991,11.02893
16,12,0,5.642872,31.842,11.86423
16,9,0,31.03912,963.4272,3.911911
15,10,1,15.87362,251.9719,15.03382
14,10,1,27.69501,767.0137,7.241369
18,11,0,30.89231,954.3348,6.00704
11,11,0,31.71151,1005.62,2.876517
14,12,0,9.015518,81.27957,8.391887
16,10,0,6.81979,46.50954,9.376354
12,11,0,34.76984,1208.942,.8244363
11,11,1,33.98025,1154.657,.1413069
16,11,1,16.01486,256.4757,10.18359
11,11,1,32.34715,1046.338,.5548618
12,11,1,27.0587,732.1731,4.648767
15,11,0,22.79064,519.4131,5.941863
13,10,1,7.188263,51.67113,12.14424
9,9,0,3.537595,12.51458,8.606222
15,9,0,22.93322,525.9326,6.850354
16,11,0,1.707434,2.915331,10.21553
9,10,0,24.53236,601.8369,6.211148
14,10,1,21.35712,456.1268,9.791057
12,12,1,16.31353,266.1314,9.622252
11,11,0,23.21741,539.0483,5.858067
16,10,1,16.22439,263.2307,7.79027
15,10,1,28.36599,804.6293,7.142777
13,9,1,15.80792,249.8904,6.311676
13,11,0,33.01398,1089.923,.1668114
13,12,1,32.87275,1080.618,3.77496
18,10,1,14.77875,218.4116,9.363818
18,10,1,9.498811,90.22741,10.22136
13,9,0,2.671261,7.135633,10.63678
11,11,0,29.6506,879.1581,2.960884
12,12,1,30.30689,918.5078,5.295974
11,11,0,4.01544,16.12375,8.315307
9,11,1,6.734024,45.34708,10.05341
18,11,0,9.512978,90.49674,10.37699
11,9,1,6.351755,40.3448,11.07545
9,9,0,7.912744,62.61151,9.444186
13,9,1,7.368307,54.29195,11.66189
11,10,1,23.54264,554.2561,7.473508
12,9,0,1.984578,3.93855,9.636792
11,11,0,22.83359,521.3727,7.180599
17,11,1,3.445003,11.86804,11.55365
17,12,1,26.85979,721.4485,8.391973
17,10,1,16.13599,260.3702,8.387497
17,10,0,15.6986,246.4462,5.110793
10,10,1,21.14535,447.1259,5.177107
17,10,1,4.606784,21.22246,10.86738
13,11,0,26.74046,715.0521,6.892332
13,9,1,22.02627,485.1566,7.579347
15,10,0,12.6281,159.4689,8.250762
13,10,0,27.40104,750.8168,5.74015
12,11,0,5.696967,32.45543,8.284247
13,12,1,11.66968,136.1814,8.115227
13,10,0,22.45524,504.2376,7.454921
9,9,1,16.16116,261.1832,7.998063
15,10,1,14.99482,224.8447,8.733189
15,11,1,32.76982,1073.861,3.184544
17,10,1,16.25204,264.129,8.079427
14,11,0,1.89681,3.597889,10.09787
12,10,0,26.00278,676.1443,4.85361
12,9,1,15.4515,238.749,8.645922
13,10,0,22.35235,499.6277,4.782369
11,11,0,7.251299,52.58134,8.435141
18,9,0,17.64938,311.5005,6.110491
12,12,1,19.23827,370.1112,8.803631
16,11,0,20.17554,407.0525,6.263268
12,12,1,3.361474,11.2995,10.11613
10,10,1,3.982172,15.8577,9.136751
10,10,1,14.81649,219.5285,8.823658
11,10,0,12.23958,149.8074,7.410511
13,11,0,14.28396,204.0314,8.599628
16,12,1,26.54819,704.8066,7.641155
11,11,0,23.99796,575.9022,7.022796
11,11,0,30.66041,940.0609,1.412538
11,9,1,23.40475,547.7825,8.917871
13,10,0,33.07396,1093.887,1.137459
17,9,1,24.65373,607.8065,6.705616
17,10,1,27.09881,734.3455,6.712101
12,11,1,33.12123,1097.016,2.053737
18,10,0,27.22126,740.9971,5.556955
11,11,0,17.7028,313.3892,6.625355
13,9,1,30.17763,910.6896,5.067383
12,9,1,6.630958,43.9696,10.4503
10,10,0,4.847936,23.50248,9.920406
15,11,1,1.90823,3.641341,8.240713
14,12,1,27.1388,736.5145,6.320606
10,10,0,30.03697,902.2196,2.790793
15,10,0,27.41843,751.7701,4.097495
16,11,0,13.05368,170.3986,8.373169
13,10,0,18.98627,360.4784,5.7349
15,11,1,23.65592,559.6027,6.557466
12,12,0,2.923972,8.549612,8.204991
14,11,0,33.47513,1120.584,1.397525
15,11,0,29.78156,886.9413,4.360653
12,11,0,30.33172,920.0132,.6048051
13,12,1,13.80789,190.6577,9.905505
12,12,1,23.87054,569.8029,6.38025
15,12,0,31.91446,1018.533,3.776402
10,10,1,30.74049,944.978,3.988493
12,12,0,3.482478,12.12765,7.766204
17,10,1,29.31608,859.4328,7.140048
15,9,1,8.008008,64.12819,9.873755
17,12,1,1.401249,1.9635,10.73179
15,10,0,27.91892,779.4662,3.795482
12,12,1,12.0772,145.8589,9.359866
15,12,1,34.29197,1175.939,2.347148
11,11,0,30.25255,915.2167,.8074552
14,10,0,27.57214,760.2228,5.058513
14,12,1,22.7197,516.1846,7.026799
12,12,1,34.26825,1174.313,2.350277
14,12,1,21.53965,463.9566,6.512527
16,9,0,26.65204,710.3315,2.074443
9,12,0,34.51537,1191.311,2.040855
12,12,0,14.42208,207.9965,7.805511
11,11,0,21.86623,478.1319,7.605601
15,9,1,31.82563,1012.871,2.627809
15,10,1,9.431964,88.96194,8.181087
